"","StartDate","EndDate","Status","IPAddress","Progress","Durationinseconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","welcome","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","MTurkCode","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE"
"347","2018-09-10 06:47:08","2018-09-10 06:58:04","0","131.93.128.188",100,656,"1","2018-09-10 06:58:04","R_2BaNT4ecfJ1ZHKv","","","","","46.482299804688","-90.153999328613","anonymous","EN","","1",3,2,1,5,4,3,6,3,4,2,6,1,3,1,6,6,1,3,6,6,4,6,1,4,4,1,1,3,1,4,"8.023","161.459","163.3","31",2,2,4,3,4,2,2,4,2,2,4,"18.017","83.765","86.351","12","1","0","0","34.844","0","0","0","16.665","0","30","40.857","44.263","46.256","2","","","","","","90","32","36.319","41.369","2",2,5,4,"0",3,3,4,4,3,"","female","",40,"english","","white","","74","","0","associates","$20K-$40K","0","","CF Loss","860545827",90,41.369,2,3.4,3,5.25,3.41666666666667,4,3,4,2,4,4,2,5,5,6,4,3,0.8,1.2,1.11363636363636,2.08333333333333,0.4,0.480305702527925,0.0899470899470898,-0.390358612580835,1.391215823153,-0.923963806187974,0.601019941759668,0.216269168573771,0.397433748463374,0.402534637579827,0.818096378965737,0.188717075317515,"hiprev","loprom","hiass","loloc",1,0.109588779049425,-0.619831936944544,1.111289048241,0.539446553289578,1
"348","2018-09-10 06:45:28","2018-09-10 06:58:05","0","172.85.108.10",100,756,"1","2018-09-10 06:58:05","R_1hFmXDQ6GYtVuSD","","","","","40.721405029297","-74.00520324707","anonymous","EN","","1",4,5,6,NA,5,2,4,5,5,4,6,5,6,3,5,4,5,6,4,6,5,3,5,3,4,6,5,6,6,5,"6.526","195.372","195.396","35",3,4,3,5,1,3,4,3,3,5,3,"19.245","80.605","83.561","12","1","0","0","23.554","0","0","0","4.609","0","30","13.437","35.656","42.589","7","","","","","","100","68.971","74.811","76.185","2",5,4,4,"1",NA,NA,NA,NA,NA,"very nice","male","",33,"english","","black","","83","","1","doctorate","$40K-$70K","1","1","CF Loss","649144332",100,76.185,2,2,3.5,3.91666666666667,NA,2,1,3,3,3,3,3,2,3,2,1,4,1,0.7,2.26515151515152,NA,-1.5,-1.41969429747208,-1.31005291005291,0.109641387419165,0.0578824898196624,NA,0.601019941759668,NA,NA,NA,NA,NA,"loprev","hiprom","loass",NA,1,-1.59612833486105,0.174094361807466,1.39737638534091,-1.59450364937454,1
"349","2018-09-10 06:45:12","2018-09-10 06:58:05","0","74.179.43.46",100,773,"1","2018-09-10 06:58:06","R_269KKPWg31k7SKn","","","","","35.869003295898","-87.49829864502","anonymous","EN","","1",5,2,4,6,6,6,2,6,4,4,5,1,3,1,3,5,2,2,1,5,5,4,1,1,5,1,2,5,5,4,"12.441","145.331","145.901","36",3,2,5,1,4,2,4,2,2,4,1,"11.106","91.459","92.36","25","1","23.863","23.863","49.67","1","0","0","32.465","0","30","21.424","42.271","43.975","3","","","","","","70","25.17","37.725","38.863","2",5,5,4,"0",3,2,5,5,4,"I like a platform that will allow you to invest small amounts of money. Even a small return is a good return and if you gain nothing, you have lost little! Thank you!","female","",56,"english","","white","","95","","","highschool","$100K-$250K","0","","CF Loss","337808815",70,38.863,2,4.2,4.16666666666667,3.91666666666667,5.16666666666667,4,5,4,4,3,4,5,5,3,5,4,6,0.2,0.566666666666667,2.08333333333333,0.515151515151515,0.0333333333333332,0.113639035861258,0.88994708994709,0.776308054085832,0.0578824898196624,0.826036193812026,0.601019941759668,0.216269168573771,-0.357898454113614,1.19029059499411,1.55702214061221,0.925322433814912,"hiprev","hiprom","loass","hiloc",1,1.08428427271255,1.23266276014348,0.53911437404118,0.127631601898256,1
"350","2018-09-10 06:51:23","2018-09-10 06:58:11","0","72.201.98.101",100,408,"1","2018-09-10 06:58:11","R_Tq1CVH1c6V8YroB","","","","","33.400100708008","-111.92900085449","anonymous","EN","","1",5,1,6,6,4,5,3,4,6,2,6,1,4,5,6,4,2,3,6,6,4,4,2,4,6,1,1,5,2,4,"2.903","132.986","133.344","37",3,1,4,4,5,1,2,2,4,2,3,"2.169","48.669","49.262","18","1","0","0","10.629","0","0","0","5.68","0","30","11.697","11.697","19.716","1","0","9.196","9.196","10.088","1","","","","","",1,3,2,"0",5,4,4,4,5,"","female","",23,"english","","white","","72","","0","somecollege","$40K-$70K","0","","Control","108511726",0,10.088,1,4.2,2.66666666666667,5.25,4.33333333333333,5,2,5,4,3,2,3,6,5,6,3,3,1.7,0.666666666666667,1.11363636363636,1.6969696969697,1.53333333333333,1.61363903586126,0.88994708994709,-0.723691945914168,1.391215823153,-0.00729713952130773,-1.5168598530125,1.7598373521199,1.15276595104036,0.402534637579827,0.818096378965737,1.66192779231231,"hiprev","loprom","hiass","loloc",0,1.08428427271255,-1.14911613611255,-1.46349698565819,1.8123291303173,-1
"351","2018-09-10 06:49:00","2018-09-10 06:58:16","0","168.194.108.130",100,556,"1","2018-09-10 06:58:17","R_6nhns9dUPqKjYQh","","","","","10.631698608398","-71.640602111816","anonymous","EN","","1",4,6,6,6,3,4,5,6,3,6,5,5,3,3,4,4,5,6,5,6,6,6,4,4,6,5,6,5,6,5,"1.025","1.025","15.331","1",5,5,5,5,5,5,5,5,5,5,5,"2.279","27.983","28.658","11","1","0","0","1.132","0","0","0","304.405","0","30","2.045","13.8","14.878","6","100","11.236","11.236","13.57","1","","","","","",4,3,2,"1",NA,NA,NA,NA,NA,"none","female","",30,"english","","white","","12","","0",NA,NA,"1","1","Control","891463495",100,13.57,1,1.8,3,3.83333333333333,4.91666666666667,1,1,1,1,1,1,1,1,1,1,4,3,3.2,4.8,3.60606060606061,1.53787878787879,-1.2,-1.11969429747208,-1.51005291005291,-0.390358612580835,-0.0254508435136707,0.576036193812026,-1.5168598530125,NA,NA,NA,NA,NA,"loprev","loprom","loass","hiloc",0,-1.83980220827683,-0.619831936944544,1.39737638534091,-1.25756414369073,-1
"352","2018-09-10 06:50:15","2018-09-10 06:58:20","0","75.164.12.28",100,485,"1","2018-09-10 06:58:20","R_prVgkBSX9f0owbn","","","","","45.553298950195","-122.55970001221","anonymous","EN","","1",6,1,4,6,5,2,1,5,6,4,5,1,3,3,5,4,1,1,1,5,6,2,1,2,5,5,6,5,5,5,"11.34","129.264","136.11","20",4,4,4,4,5,5,4,3,3,5,2,"12.155","62.034","64.535","11","1","0","0","21.896","0","0","0","19.012","0","30","23.051","27.687","29.993","3","0","17.172","18.3","20.688","2","","","","","",5,5,3,"0",3,4,5,1,3,"","female","",50,"english","","white","","89","","0","doctorate","$100K-$250K","0","","Control","905978556",0,20.688,2,2.6,3.66666666666667,3.5,5,2,2,1,3,2,3,4,6,3,1,4,5,2.3,1.06666666666667,4.09090909090909,0.545454545454545,-1.06666666666667,-0.986360964138742,-0.71005291005291,0.276308054085832,-0.358784176847004,0.659369527145359,-0.457919955626414,0.216269168573771,1.15276595104036,1.19029059499411,-1.39868090597368,0.188717075317515,"loprev","hiprom","loass","hiloc",0,-0.865106714613701,0.438736461391469,-1.46349698565819,-1.10781325227571,-1
"353","2018-09-10 06:45:10","2018-09-10 06:58:20","0","172.245.180.161",100,789,"1","2018-09-10 06:58:20","R_2ZCv7UNO9PG1nMl","","","","","42.88639831543","-78.87809753418","anonymous","EN","","1",4,5,6,5,4,5,6,5,4,5,6,5,5,4,5,6,4,5,5,4,4,6,5,5,5,4,6,5,6,4,"2.569","62.049","63.076","37",2,3,4,5,3,5,3,1,1,3,3,"2.3","32.965","34.94","11","1","0","0","4.26","0","0","0","3.417","0","30","10.255","14.184","16.562","4","","","","","","51","4.444","4.444","5.929","1",3,5,4,"1",NA,NA,NA,NA,NA,"GOOD","male","",49,"english","","white","","96","","1","doctorate","$100K-$250K","1","1","CF Loss","275351850",51,5.929,1,2.6,3.66666666666667,4.16666666666667,4.5,3,1,1,5,4,5,3,2,2,1,2,2,2.8,0.666666666666667,2.87878787878788,1.90909090909091,-1.06666666666667,-0.986360964138742,-0.71005291005291,0.276308054085832,0.307882489819663,0.159369527145359,0.601019941759668,NA,NA,NA,NA,NA,"loprev","hiprom","hiass","hiloc",1,-0.865106714613701,0.438736461391469,-0.00445156644864999,-1.10781325227571,1
"354","2018-09-10 06:48:27","2018-09-10 06:58:20","0","108.187.168.112",100,593,"1","2018-09-10 06:58:21","R_afV6F27GDyIDpwR","","","","","37.751007080078","-97.821998596191","anonymous","EN","","1",4,5,3,4,5,4,3,6,4,5,4,3,5,4,3,5,4,5,4,3,4,4,4,3,4,5,4,3,5,3,"3.334","86.365","88.052","33",2,4,3,3,3,4,4,4,4,5,3,"5.209","39.785","42.917","18","1","0","0","1.293","0","0","0","2.776","0","30","15.457","28.03","59.355","2","57","29.599","48.956","50.207","2","","","","","",4,3,3,"1",NA,NA,NA,NA,NA,"i had interest in bitcoin investment so i have invested","male","",31,"english","","white","","96","","0","doctorate","$40K-$70K","0","","Control","846939565",57,50.207,2,2.4,3.5,3.25,4.08333333333333,2,3,2,2,4,2,3,2,2,3,2,4,0.3,1.1,0.568181818181818,1.17424242424242,-1.1,-1.01969429747208,-0.91005291005291,0.109641387419165,-0.608784176847004,-0.257297139521308,-0.457919955626414,NA,NA,NA,NA,NA,"loprev","hiprom","loass","loloc",0,-1.10878058802948,0.174094361807466,0.167200835811296,-1.14525097512946,-1
"355","2018-09-10 06:45:37","2018-09-10 06:58:22","0","107.172.3.125",100,765,"1","2018-09-10 06:58:23","R_xykIHwoSjreNYvT","","","","","42.88639831543","-78.87809753418","anonymous","EN","","1",5,4,5,4,4,6,5,5,5,4,6,5,5,6,5,5,5,4,5,4,5,4,5,1,5,3,5,4,4,5,"2.641","134.57","137.188","33",2,3,2,3,2,1,4,3,3,4,5,"6.895","94.527","117.457","13","1","58.658","117.336","119.007","2","0","0","59.519","0","30","32.246","116.542","119.985","2","64","11.246","21.244","22.898","2","","","","","",4,3,3,"1",NA,NA,NA,NA,NA,"nice study","male","",29,"english","","white","","83","","0","graddegree","$70K-$100K","0","","Control","842391901",64,22.898,2,3.2,3,4.41666666666667,4.5,3,3,5,3,4,3,1,3,3,2,2,6,1.2,1.6,1.53787878787879,1,0.2,0.280305702527925,-0.11005291005291,-0.390358612580835,0.557882489819663,0.159369527145359,-0.457919955626414,NA,NA,NA,NA,NA,"loprev","loprom","hiass","hiloc",0,-0.134085094366356,-0.619831936944544,0.367461971781233,0.314820216167039,-1
"356","2018-09-10 06:47:44","2018-09-10 06:58:30","0","108.230.214.89",100,645,"1","2018-09-10 06:58:30","R_5pBiVTuKdD4myVr","","","","","29.552597045898","-82.522300720215","anonymous","EN","","1",3,2,3,4,4,4,3,3,3,4,4,1,4,2,5,4,3,2,5,5,3,5,2,3,2,2,2,4,3,4,"14.336","281.905","283.028","35",2,2,3,2,4,2,3,2,2,4,2,"5.096","58.566","59.459","12","1","0","0","19.6","0","0","0","14.023","0","30","15.007","15.007","16.104","1","","","","","","100","6.013","6.013","6.62","1",2,2,4,"0",1,1,3,1,1,"This study was interesting.","male","",48,"english","","white","","12","","0","associates","$10K-$20K","0","","CF Loss","818489972",100,6.62,1,4,3.66666666666667,4.25,3.33333333333333,4,4,4,4,4,4,4,5,3,5,3,4,0,0.266666666666667,0.75,0.424242424242424,0.333333333333333,0.413639035861258,0.68994708994709,0.276308054085832,0.391215823152996,-1.00729713952131,0.601019941759668,-1.32729901497236,-1.1132306566906,-0.385221319834458,-1.39868090597368,-1.28449364167728,"hiprev","hiprom","hiass","loloc",1,0.84061039929677,0.438736461391469,1.39737638534091,0.464571107582065,1
"357","2018-09-10 06:46:12","2018-09-10 06:58:31","0","96.245.251.218",100,738,"1","2018-09-10 06:58:32","R_OvfqukwiqMh8LKN","","","","","40.195693969727","-74.812698364258","anonymous","EN","","1",5,1,4,6,5,5,5,4,6,4,4,1,5,6,4,5,2,2,5,5,5,4,5,1,5,5,1,6,5,5,"8.895","172.303","173.392","33",3,5,5,4,3,4,3,5,3,4,5,"8.515","97.329","98.777","13","1","0","0","65.6","0","0","0","31.824","0","30","18.058","40.182","45.576","5","0","22.371","23.862","26.965","2","","","","","",5,5,2,"0",1,1,2,1,1,"Thank you.","male","",34,"english","","white","","83","","0","graddegree","$100K-$250K","0","","Control","19192778",0,26.965,2,1.8,3.16666666666667,4.83333333333333,4.83333333333333,1,2,2,1,3,3,1,6,3,6,2,6,0.7,1.76666666666667,0.878787878787879,1.24242424242424,-1.36666666666667,-1.28636096413874,-1.51005291005291,-0.223691945914168,0.974549156486329,0.492702860478692,-1.5168598530125,-1.32729901497236,-1.1132306566906,-1.17297727724874,-1.39868090597368,-1.28449364167728,"loprev","loprom","hiass","hiloc",0,-1.83980220827683,-0.355189837360541,-1.46349698565819,-1.44475275795952,-1
"358","2018-09-10 06:46:14","2018-09-10 06:58:34","0","68.118.237.63",100,739,"1","2018-09-10 06:58:35","R_1qeA5dZi2wDKudg","","","","","42.195495605469","-71.846298217773","anonymous","EN","","1",5,1,2,5,2,3,5,5,6,2,5,1,5,1,5,4,2,2,5,5,3,5,2,3,5,1,1,4,3,5,"9.152","291.546","292.284","30",2,4,3,4,2,4,3,4,3,1,3,"3.615","58.429","59.245","11","1","0","0","15.512","0","0","0","17.443","0","30","29.324","29.324","30.181","1","0","69.179","69.179","70.435","1","","","","","",5,5,3,"0",4,4,5,2,3,"","female","",37,"english","","white","","73","","0","somecollege","$70K-$100K","0","","Control","268890735",0,70.435,1,2,2.83333333333333,5.08333333333333,3.66666666666667,2,2,2,2,4,3,3,6,5,6,2,4,0,0.966666666666667,0.628787878787879,1.51515151515152,-0.833333333333333,-0.753027630805409,-1.31005291005291,-0.557025279247501,1.22454915648633,-0.673963806187974,-0.457919955626414,0.988053260346834,1.15276595104036,1.19029059499411,-0.659755144327207,0.188717075317515,"loprev","loprom","hiass","loloc",0,-1.59612833486105,-0.884474036528547,-1.46349698565819,-0.845749192299413,-1
"359","2018-09-10 06:50:07","2018-09-10 06:58:36","0","107.152.231.253",100,508,"1","2018-09-10 06:58:36","R_1gBz5FhUOFGoogq","","","","","33.973495483398","-118.24520111084","anonymous","EN","","1",4,5,4,5,6,5,5,4,4,5,3,2,2,5,5,4,5,6,2,5,4,2,5,1,5,4,5,5,4,5,"3.092","79.107","79.922","36",2,3,2,2,4,3,4,2,1,4,4,"1.592","41.08","42.002","36","1","20.594","75.626","77.833","36","3.47","9.886","16.305","8","30","0.055","33.511","35.326","15","","","","","","20","7.81","19.748","20.997","8",4,4,2,"0",3,3,4,4,3,"","female","",27,"english","","white","","8","","0","graddegree","$70K-$100K","0","","CF Loss","597821333",20,20.997,8,3.6,3.5,3.5,4.66666666666667,3,4,3,4,4,5,2,2,2,2,5,6,0.3,1.5,2.09090909090909,0.606060606060606,0.1,0.180305702527925,0.28994708994709,0.109641387419165,-0.358784176847004,0.326036193812026,-1.5168598530125,0.216269168573771,0.397433748463374,0.402534637579827,0.818096378965737,0.188717075317515,"hiprev","hiprom","loass","hiloc",1,0.353262652465207,0.174094361807466,-0.891322311458372,0.202507047605769,1
"360","2018-09-10 06:45:38","2018-09-10 06:58:38","0","185.242.5.99",100,780,"1","2018-09-10 06:58:38","R_b2yyGgKDMBMGDWF","","","","","36.175003051758","-115.13719940186","anonymous","EN","","1",5,3,5,5,5,3,3,5,4,5,3,1,5,4,1,5,2,5,2,3,4,1,1,1,5,2,3,4,5,5,"11.58","197.018","197.905","34",1,1,5,1,5,3,5,3,2,5,1,"19.161","107.651","109.33","11","1","0","0","73.994","0","0","0","33.568","0","30","37.717","37.717","40.738","1","50","32.697","32.697","34.726","1","","","","","",5,5,3,"1",NA,NA,NA,NA,NA,"none","female","",40,"english","","white","","12","","0","somecollege","$40K-$70K","0","","Control","583138335",50,34.726,1,4.2,4.83333333333333,2.91666666666667,4.66666666666667,5,5,3,3,5,4,5,4,2,4,2,6,1.2,0.166666666666667,1.53787878787879,0.96969696969697,-0.633333333333333,-0.553027630805408,0.88994708994709,1.4429747207525,-0.942117510180338,0.326036193812026,-0.457919955626414,NA,NA,NA,NA,NA,"hiprev","hiprom","loass","hiloc",0,1.08428427271255,2.29123115847949,-0.033060300158641,-0.621122855176873,-1
"361","2018-09-10 06:53:04","2018-09-10 06:58:40","0","47.201.196.171",100,335,"1","2018-09-10 06:58:40","R_2ZDh9ofPWN4Vzgo","","","","","28.292694091797","-82.627899169922","anonymous","EN","","1",6,1,5,6,6,3,4,5,5,2,5,1,1,3,2,5,3,1,2,4,5,1,1,1,4,1,1,6,4,3,"3.077","79.64","80.286","36",3,1,5,1,5,1,4,1,1,3,3,"3.234","63.657","64.65","11","1","3.929","17.128","24.911","3","0","0","8.512","0","30","12.049","12.049","13.442","1","50","13.39","13.39","18.488","1","","","","","",5,5,4,"0",5,5,5,5,5,"","male","",32,"english","","white","","12","","0","somecollege","$70K-$100K","0","","Control","995694179",50,18.488,1,5,3.83333333333333,3.83333333333333,5.33333333333333,5,5,5,5,3,5,3,6,5,6,6,6,0,0.966666666666667,2.6969696969697,0.606060606060606,1.16666666666667,1.24697236919459,1.68994708994709,0.442974720752499,-0.0254508435136707,0.992702860478692,0.601019941759668,1.7598373521199,1.90809815361735,1.19029059499411,1.55702214061221,1.66192779231231,"hiprev","hiprom","loass","hiloc",0,2.05897976637568,0.703378560975473,-0.033060300158641,1.40051417892598,-1
"362","2018-09-10 06:45:58","2018-09-10 06:58:46","0","76.84.25.21",100,767,"1","2018-09-10 06:58:46","R_3esgbQyeHaIQ9R8","","","","","40.779602050781","-96.700103759766","anonymous","EN","","1",4,3,4,5,5,3,2,5,3,5,4,1,4,4,2,5,3,3,4,5,4,2,3,1,4,2,3,4,5,3,"8.19","135.827","136.938","89",1,3,5,2,4,3,3,2,2,4,2,"7.87","86.072","87.023","75","1","2.235","43.314","71.598","7","2.054","19.98","25.747","3","30","2.064","61.307","65.951","20","","","","","","100","2.645","20.394","21.047","12",5,5,4,"0",3,3,4,2,2,"","female","",46,"english","","white","","78","","0","graddegree",NA,"0","","CF Loss","463751095",100,21.047,12,3.6,4.16666666666667,3.16666666666667,4.5,3,4,3,4,5,4,4,4,2,4,3,6,0.3,0.566666666666667,1.06060606060606,0.636363636363636,-0.566666666666667,-0.486360964138742,0.28994708994709,0.776308054085832,-0.692117510180338,0.159369527145359,0.601019941759668,0.216269168573771,0.397433748463374,0.402534637579827,-0.659755144327207,-0.547888283179883,"hiprev","hiprom","loass","hiloc",1,0.353262652465207,1.23266276014348,1.39737638534091,-0.546247409469361,1
"363","2018-09-10 06:47:12","2018-09-10 06:58:48","0","190.124.31.44",100,695,"1","2018-09-10 06:58:48","R_1gw2Rk0eTAH2fVr","","","","","8","-66","anonymous","EN","","1",6,6,6,6,6,2,2,3,1,1,1,1,4,6,1,6,3,3,5,5,3,6,6,1,6,6,6,6,3,6,"6.169","150.157","151.959","74",1,3,5,3,5,3,5,3,5,5,3,"16.501","105.169","107.013","103","1","0","0","5.72","0","0","0","4.578","0","30","14.947","65.96","67.3","20","","","","","","30","4.424","19.585","21.046","6",5,4,5,"0",3,3,3,3,3,"IS GOOD","male","",31,"english","","white","","13","","1",NA,"$250K-$500K","0","","CF Loss","256196280",30,21.046,6,3.4,4,3.08333333333333,5,3,3,3,3,5,1,3,1,6,1,3,6,0.8,2.8,5.17424242424242,2.18181818181818,-0.6,-0.519694297472075,0.0899470899470898,0.609641387419165,-0.775450843513671,0.659369527145359,1.65995983914575,0.216269168573771,0.397433748463374,-0.385221319834458,0.0791706173192649,0.188717075317515,"hiprev","hiprom","loass","hiloc",1,0.109588779049425,0.968020660559476,-0.605234974358462,-0.583685132323117,1
"364","2018-09-10 06:46:02","2018-09-10 06:58:49","0","98.212.85.185",100,766,"1","2018-09-10 06:58:49","R_2rZu1yk5oFxi5Fa","","","","","40.109497070312","-88.212303161621","anonymous","EN","","1",4,3,2,4,3,2,5,4,2,3,5,2,5,1,3,4,3,3,4,4,3,4,3,5,4,1,2,3,3,4,"5.52","115.248","116.199","35",3,1,2,1,4,2,4,2,3,3,4,"9.903","55.511","56.504","12","1","0","0","84.746","0","0","0","20.136","0","30","19.321","19.321","20.183","1","","","","","","100","19.173","19.173","20.305","1",5,4,3,"0",4,2,5,5,4,"","male","",41,"english","","white","","65","","0","graddegree","$100K-$250K","0","","CF Loss","978953072",100,20.305,1,4.4,2.83333333333333,3.83333333333333,3.16666666666667,5,5,4,4,3,3,2,4,4,5,2,2,0.3,0.566666666666667,1.06060606060606,0.696969696969697,1.56666666666667,1.64697236919459,1.08994708994709,-0.557025279247501,-0.0254508435136707,-1.17396380618797,-0.457919955626414,0.988053260346834,-0.357898454113614,1.19029059499411,1.55702214061221,0.925322433814912,"hiprev","loprom","loass","loloc",1,1.32795814612833,-0.884474036528547,1.39737638534091,1.84976685317106,1
"365","2018-09-10 06:46:09","2018-09-10 06:58:49","0","99.19.77.108",100,759,"1","2018-09-10 06:58:49","R_3negP3oxsAZD7NF","","","","","34.867492675781","-92.400100708008","anonymous","EN","","1",6,2,5,5,5,5,3,6,4,2,4,1,3,1,5,4,3,3,2,2,5,2,2,2,5,1,2,5,5,2,"45.398","240.009","241.555","34",1,3,5,3,4,3,5,2,2,4,2,"13.741","109.801","112.449","23","1","6.944","6.944","16.186","1","8.047","8.047","22.914","1","30","35.983","68.47","70.14","8","51","10.702","17.215","19.06","2","","","","","",5,5,4,"0",2,3,3,3,2,"None at this time","female","",45,"english","","black","","7","","0","doctorate","$100K-$250K","0","","Control","967122015",51,19.06,2,3.4,4.5,3.66666666666667,5,3,3,3,4,5,4,4,5,5,5,4,5,0.3,0.3,1.87878787878788,0.363636363636364,-1.1,-1.01969429747208,0.0899470899470898,1.10964138741917,-0.192117510180338,0.659369527145359,0.601019941759668,-0.555514923199293,0.397433748463374,-0.385221319834458,0.0791706173192649,-0.547888283179883,"hiprev","hiprom","loass","hiloc",0,0.109588779049425,1.76194695931149,-0.00445156644864999,-1.14525097512946,-1
"366","2018-09-10 06:50:52","2018-09-10 06:58:55","0","66.85.185.75",100,482,"1","2018-09-10 06:58:55","R_24PX8cy4b1znowF","","","","","33.435699462891","-111.91709899902","anonymous","EN","","1",4,4,5,2,6,3,4,3,6,2,2,3,1,3,4,3,3,5,4,4,4,3,3,5,3,3,4,6,3,3,"13.951","59.742","60.988","2",3,4,3,3,4,2,3,4,2,5,3,"10.98","12.981","43.218","2","1","2.031","2.031","3.386","1","4.375","4.375","5.846","1","30","13.409","23.813","27.98","2","10","8.489","12.063","12.89","2","","","","","",4,3,4,"0",3,1,4,4,4,"any","male","",31,"english","","white","","96","","1","graddegree","$100K-$250K","1","1","Control","816330773",10,12.89,2,3,3.5,3.66666666666667,3.91666666666667,2,3,4,2,3,4,3,3,5,3,6,2,1,0.7,1.15151515151515,2.26515151515152,-0.5,-0.419694297472075,-0.31005291005291,0.109641387419165,-0.192117510180338,-0.423963806187974,0.601019941759668,0.216269168573771,-1.1132306566906,0.402534637579827,0.818096378965737,0.925322433814912,"loprev","hiprom","loass","loloc",0,-0.377758967782138,0.174094361807466,-1.17740964855828,-0.471371963761848,-1
"367","2018-09-10 06:45:56","2018-09-10 06:59:02","0","108.187.189.52",100,786,"1","2018-09-10 06:59:03","R_2v7eRl3dlS97ajB","","","","","37.751007080078","-97.821998596191","anonymous","EN","","1",5,4,5,4,3,3,4,3,5,4,2,2,4,3,3,2,5,4,4,5,6,6,3,2,2,3,3,3,4,5,"165.886","206.861","208.385","30",3,3,4,3,4,5,4,2,1,3,3,"17.689","83.619","85.117","11","1","0","0","22.951","0","0","0","29.129","0","30","38.475","38.475","39.391","1","72","43.883","43.883","44.678","1","","","","","",4,4,3,"0",3,2,2,4,2,"","male","",31,"english","","white","","96","","0","doctorate","$70K-$100K","0","","Control","697917745",72,44.678,1,3,3.66666666666667,3.91666666666667,3.75,3,3,1,4,3,5,3,3,3,4,3,5,1.5,0.666666666666667,1.35606060606061,1.65909090909091,-0.666666666666667,-0.586360964138742,-0.31005291005291,0.276308054085832,0.0578824898196624,-0.590630472854641,-0.457919955626414,0.216269168573771,-0.357898454113614,-1.17297727724874,0.818096378965737,-0.547888283179883,"loprev","hiprom","loass","loloc",0,-0.377758967782138,0.438736461391469,0.596331841461162,-0.65856057803063,-1
"368","2018-09-10 06:46:12","2018-09-10 06:59:07","0","107.172.165.113",100,775,"1","2018-09-10 06:59:08","R_2wFw95d0CpGt50j","","","","","42.88639831543","-78.87809753418","anonymous","EN","","1",2,4,3,5,5,4,5,4,3,4,5,4,3,4,5,3,4,3,2,1,2,3,5,3,3,4,3,4,2,5,"7.53","91.281","92.996","32",3,2,4,3,2,2,3,2,3,3,2,"8.838","130.169","131.966","11","1","18.114","33.096","34.617","3","11.335","11.701","12.403","2","30","13.713","41.6","83.543","4","","","","","","70","12.678","49.032","50.227","5",2,5,2,"0",3,3,4,3,3,"i invest in bitcoin","female","",32,"english","","white","","83","","0","graddegree","$40K-$70K","0","","CF Loss","501333022",70,50.227,5,3.4,3.33333333333333,3.58333333333333,3.41666666666667,4,3,4,4,3,3,4,3,3,4,4,4,0.8,0.266666666666667,1.71969696969697,1.17424242424242,0.0666666666666664,0.146972369194591,0.0899470899470898,-0.0570252792475014,-0.275450843513671,-0.923963806187974,-1.5168598530125,0.216269168573771,0.397433748463374,0.402534637579827,0.0791706173192649,0.188717075317515,"hiprev","loprom","loass","loloc",1,0.109588779049425,-0.0905477377765371,0.53911437404118,0.165069324752012,1
