"","StartDate","EndDate","Progress","Durationinseconds","Finished","ResponseId","UserLanguage","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE","countryCode","countryName","asn","isp","block","hostname","block12","block.d"
"307","2018-09-10 06:45:51","2018-09-10 06:56:10",100,619,"1","R_QiYUUyWhCPtCrzX","EN","1",6,4,2,6,4,3,6,4,5,2,6,1,3,4,4,5,5,1,6,4,4,5,1,3,4,1,2,4,3,2,"5.831","181.445","182.811","57",3,1,3,3,4,3,5,2,3,3,5,"6.476","101.338","102.246","31","1","0","0","12.018","0","0","0","11.618","0","30","82.773","82.773","84.098","1","","","","","","100","8.727","8.727","10.469","1",5,5,4,"1",NA,NA,NA,NA,NA,"None  additional to provide. It was  interesting.  ","male","",33,"english","","white","","96","","0","associates","$70K-$100K","0","","CF Loss",100,10.469,1,3.8,3,4.5,4.16666666666667,5,3,3,4,3,3,1,3,5,5,4,4,0.7,1.6,1.72727272727273,1.24242424242424,0.8,0.880305702527925,0.48994708994709,-0.390358612580835,0.641215823152996,-0.173963806187974,0.601019941759668,NA,NA,NA,NA,NA,"hiprev","loprom","hiass","loloc",1,0.596936525880988,-0.619831936944544,1.39737638534091,0.988699227534655,1,"US","United States","3549","LVLT-3549",2,"64.129.54.42",1,0
"309","2018-09-10 07:08:45","2018-09-10 07:14:23",100,337,"1","R_RslXX3n9HRFMPol","EN","1",6,6,4,6,5,1,4,6,1,6,1,1,3,6,1,6,5,3,1,1,3,1,5,4,6,1,6,6,5,1,"2.241","76.561","77.19","94",1,3,5,3,3,3,5,1,1,5,1,"6.669","31.795","32.164","45","1","2.255","28.437","36.066","5","1.746","5.688","12.706","2","30","1.118","20.445","21.428","7","","","","","","0","1.543","11","11.508","6",5,5,1,"0",1,1,2,2,1,"","female","",26,"english","","white","","87","","0","associates","$40K-$70K","0","","CF Loss",0,11.508,6,3.4,5,1.25,5,3,3,3,5,5,5,5,1,1,1,4,3,0.8,0,0.75,1.45454545454545,-1.6,-1.51969429747208,0.0899470899470898,1.60964138741917,-2.608784176847,0.659369527145359,-2.57579975039858,-1.32729901497236,-1.1132306566906,-1.17297727724874,-0.659755144327207,-1.28449364167728,"hiprev","hiprom","loass","hiloc",1,0.109588779049425,2.5558732580635,-1.46349698565819,-1.70681681793581,1,"US","United States","10796","SCRR-10796",0,"65.24.117.162",0,0
"311","2018-09-10 06:47:59","2018-09-10 06:50:44",100,164,"1","R_3R7T6qrwD7LRPwM","EN","1",5,2,5,5,4,2,5,4,4,2,5,3,4,4,2,4,5,2,5,4,4,2,5,4,4,2,6,4,4,2,"0.517","18.567","19.17","30",3,3,2,2,3,3,3,2,2,4,2,"1.002","11.858","13.287","11","1","0","0","3.762","0","0","0","6.546","0","30","9.318","9.318","10.471","1","50","10.449","10.449","16.11","1","","","","","",4,4,4,"0",4,2,3,3,3,"","male","",35,"english","","white","","12","","0","graddegree","$100K-$250K","0","","Control",50,16.11,1,3.4,3.33333333333333,3.5,4.08333333333333,3,4,3,4,3,4,4,5,5,1,3,3,0.3,0.666666666666667,2.45454545454545,0.446969696969697,0.0666666666666664,0.146972369194591,0.0899470899470898,-0.0570252792475014,-0.358784176847004,-0.257297139521308,0.601019941759668,0.988053260346834,-0.357898454113614,-0.385221319834458,0.0791706173192649,0.188717075317515,"hiprev","loprom","loass","loloc",0,0.109588779049425,-0.0905477377765371,-0.033060300158641,0.165069324752012,-1,"US","United States","7922","COMCAST-7922",0,"66.177.138.43",0,0
"313","2018-09-10 06:57:12","2018-09-10 07:00:30",100,197,"1","R_3feecFwDZNeghVJ","EN","1",5,4,3,4,4,4,5,4,5,3,3,5,4,4,5,4,5,4,5,4,5,4,2,2,5,3,4,4,5,4,"2.918","32.108","33.28","32",3,3,3,3,3,4,3,4,3,3,2,"1.709","20.837","22.225","13","1","0","0","7.165","0","0","0","5.024","0","30","6.322","13.902","14.926","3","","","","","","70","8.042","12.744","14.633","4",4,5,3,"0",2,2,3,2,2,"","female","",33,"english","","white","","73","","1","graddegree","$40K-$70K","0","","CF Loss",70,14.633,4,2.6,3.16666666666667,4.08333333333333,4.25,3,3,2,2,3,3,4,3,4,3,3,5,0.3,0.166666666666667,0.628787878787879,0.568181818181818,-0.566666666666666,-0.486360964138742,-0.71005291005291,-0.223691945914168,0.224549156486329,-0.0906304728546408,-0.457919955626414,-0.555514923199293,-0.357898454113614,-0.385221319834458,-0.659755144327207,-0.547888283179883,"loprev","loprom","hiass","loloc",1,-0.865106714613701,-0.355189837360541,0.53911437404118,-0.54624740946936,1,"US","United States","20115","CHARTER-NET-HKY-NC",0,"66.189.20.110",0,0
"315","2018-09-10 06:50:42","2018-09-10 06:53:17",100,154,"1","R_damBjjkFrLfJ7dT","EN","1",2,3,5,5,3,1,5,4,1,2,5,4,6,2,5,2,5,2,2,1,5,2,5,3,5,2,5,2,4,2,"0.565","15.829","16.68","43",2,3,4,3,2,2,5,1,3,3,2,"1.08","7.304","8.561","12","1","1.136","1.136","1.356","1","0","0","0.811","0","30","1.672","4.505","4.933","4","52","3.111","3.815","4.066","3","","","","","",2,2,5,"0",3,4,2,5,4,"","female","",23,"english","","asian","","15","","0","associates","$70K-$100K","0","","Control",52,4.066,3,3.4,3.83333333333333,2.91666666666667,3.5,3,3,4,5,4,3,4,4,5,2,1,4,1.3,0.566666666666667,2.99242424242424,2.09090909090909,-0.433333333333334,-0.353027630805409,0.0899470899470898,0.442974720752499,-0.942117510180338,-0.840630472854641,1.65995983914575,0.216269168573771,1.15276595104036,-1.17297727724874,1.55702214061221,0.925322433814912,"hiprev","hiprom","loass","loloc",0,0.109588779049425,0.703378560975473,0.024157167261341,-0.396496518054335,-1,"US","United States","20001","ROADRUNNER-WEST",0,"66.91.245.82",0,0
"316","2018-09-10 06:45:29","2018-09-10 07:01:14",100,945,"1","R_31tN8Gr2SnJ3zBP","EN","1",5,2,4,4,4,4,5,4,5,5,4,1,4,1,4,3,2,1,4,4,4,3,2,3,3,3,3,4,4,3,"7.795","146.242","148.038","77",3,4,3,3,3,4,3,3,2,3,4,"2.408","289.409","289.849","41","1","7.204","30.341","33.093","6","1.658","14.444","19.285","7","30","11.646","23.544","25.394","5","","","","","","75","3.609","25.121","26.067","5",5,4,2,"0",2,2,4,3,3,"","female","",30,"english","","white","","65","","1","graddegree","$250K-$500K","0","","CF Loss",75,26.067,5,2.6,3,3.91666666666667,3.83333333333333,2,3,2,3,3,4,2,5,2,4,3,4,0.3,0.4,0.810606060606061,0.333333333333333,-0.4,-0.319694297472075,-0.71005291005291,-0.390358612580835,0.0578824898196624,-0.507297139521307,-1.5168598530125,-0.555514923199293,-0.357898454113614,0.402534637579827,0.0791706173192649,0.188717075317515,"loprev","loprom","loass","loloc",1,-0.865106714613701,-0.619831936944544,0.682158042591135,-0.359058795200578,1,"US","United States","7922","COMCAST-7922",0,"67.175.50.33",0,0
"317","2018-09-10 06:50:29","2018-09-10 06:54:16",100,227,"1","R_1LdQGuzFDuU5duh","EN","1",5,5,6,6,6,5,6,2,2,3,2,2,4,2,3,3,1,5,2,3,2,2,3,2,1,6,2,2,3,5,"0","0","9.93","0",2,3,3,2,4,4,3,3,3,3,2,"0","0","6.601","0","1","0","0","10.017","0","47","47","57.256","1","30","4.332","10.159","11.19","2","0","9.714","10.805","18.967","2","","","","","",5,4,3,"1",NA,NA,NA,NA,NA,"","male","",22,"english","","white","","8","","0","bachelors","$100K-$250K","0","","Control",0,18.967,2,3.2,3.33333333333333,3.41666666666667,3.66666666666667,3,4,2,3,4,3,4,2,4,5,3,5,0.7,0.266666666666667,2.26515151515152,3.33333333333333,-0.133333333333333,-0.0530276308054086,-0.11005291005291,-0.0570252792475014,-0.442117510180338,-0.673963806187974,-0.457919955626414,NA,NA,NA,NA,NA,"loprev","loprom","loass","loloc",0,-0.134085094366356,-0.0905477377765371,-1.46349698565819,-0.0595570123705262,-1,"US","United States","7922","COMCAST-7922",0,"67.181.174.153",0,0
"318","2018-09-10 07:04:17","2018-09-10 07:13:48",100,571,"1","R_1LTCIaZ6qv5bvIE","EN","1",5,1,2,6,5,1,2,5,4,6,4,1,3,1,2,4,3,3,2,4,3,1,1,2,5,1,2,6,5,3,"3.075","94.88","97.03","30",3,3,4,3,4,3,4,2,2,3,1,"3.121","43.144","44.793","11","1","0","0","1.952","0","0","0","2.428","0","30","3.313","3.313","4.318","1","","","","","","50","143.975","143.975","184.672","1",5,5,3,"0",5,4,5,4,4,"","male","",34,"english","","white","","93","","0","somecollege","$40K-$70K","0","","CF Loss",50,184.672,1,3.4,3.83333333333333,2.91666666666667,4.58333333333333,3,3,3,4,3,4,5,6,1,5,4,5,0.3,0.566666666666667,2.81060606060606,1.35606060606061,-0.433333333333334,-0.353027630805409,0.0899470899470898,0.442974720752499,-0.942117510180338,0.242702860478692,-0.457919955626414,1.7598373521199,1.15276595104036,1.19029059499411,0.818096378965737,0.925322433814912,"hiprev","hiprom","loass","hiloc",1,0.109588779049425,0.703378560975473,-0.033060300158641,-0.396496518054335,1,"US","United States","14615","ROCK-HILL-TELEPHONE",0,"67.197.66.205",0,0
"319","2018-09-10 06:44:58","2018-09-10 06:55:38",100,640,"1","R_2VKin9jIpDDH5gl","EN","1",5,2,4,4,4,5,5,4,4,3,5,4,3,3,4,4,4,3,5,5,5,4,3,3,5,3,2,4,4,5,"6.367","274.554","275.558","33",3,3,4,5,3,4,4,3,3,3,3,"11.126","108.328","109.27","13","1","0","0","17.981","0","0","0","14.04","0","30","28.924","28.924","30.037","1","100","37.44","37.44","38.47","1","","","","","",5,4,5,"1",NA,NA,NA,NA,NA,"","male","",29,"english","","white","","96","","1","associates","$20K-$40K","0","","Control",100,38.47,1,2.4,3.33333333333333,4.66666666666667,4.25,3,1,2,3,3,3,3,5,4,5,4,4,0.8,0.266666666666667,0.242424242424242,0.204545454545455,-0.933333333333334,-0.853027630805409,-0.91005291005291,-0.0570252792475014,0.807882489819663,-0.0906304728546408,1.65995983914575,NA,NA,NA,NA,NA,"loprev","loprom","hiass","loloc",0,-1.10878058802948,-0.0905477377765371,1.39737638534091,-0.958062360860682,-1,"US","United States","7459","GRANDECOM-AS1",0,"67.198.125.20",0,0
"320","2018-09-10 06:45:34","2018-09-10 07:01:42",100,968,"1","R_2z78hByVuPqHFyZ","EN","1",5,2,2,5,3,4,2,3,6,4,6,1,6,1,6,4,3,2,4,6,4,6,1,4,4,2,1,2,2,4,"11.22","230.14","231.103","31",3,3,3,1,4,3,2,1,3,3,3,"37.336","143.309","144.47","12","1","0","0","32.849","0","0","0","25.132","0","30","25.975","34.549","35.624","2","","","","","","50","46.756","46.756","47.964","1",1,4,2,"0",3,1,3,2,2,"","female","",34,"english","","white","","95","","0","associates","$20K-$40K","0","","CF Loss",50,47.964,1,4,2.83333333333333,4.83333333333333,3.16666666666667,3,5,3,5,3,3,3,5,3,6,1,3,1,0.166666666666667,1.96969696969697,1.60606060606061,1.16666666666667,1.24697236919459,0.68994708994709,-0.557025279247501,0.974549156486329,-1.17396380618797,-1.5168598530125,0.216269168573771,-1.1132306566906,-0.385221319834458,-0.659755144327207,-0.547888283179883,"hiprev","loprom","hiass","loloc",1,0.84061039929677,-0.884474036528547,-0.033060300158641,1.40051417892598,1,"US","United States","22051","BTES-AS",0,"67.223.21.34",0,0
"322","2018-09-10 06:45:22","2018-09-10 06:54:09",100,526,"1","R_1DOPO6jbCjitK21","EN","1",4,2,4,6,5,3,4,5,3,5,4,2,3,5,3,4,2,3,1,4,6,2,3,3,4,2,3,5,4,2,"3.167","173.072","173.704","34",4,1,4,2,4,2,4,3,3,4,1,"2.674","53.319","54.367","13","1","0","0","65.575","0","0","0","21.733","0","30","7.864","16.838","17.744","3","","","","","","20","10.375","10.375","13.584","1",5,5,3,"0",3,1,3,1,1,"","female","",31,"english","","white","","83","","0","graddegree","$70K-$100K","0","","CF Loss",20,13.584,1,4,3.66666666666667,3.08333333333333,4.58333333333333,5,4,4,3,2,3,5,5,2,4,4,4,0.5,1.06666666666667,1.35606060606061,0.628787878787879,0.333333333333333,0.413639035861258,0.68994708994709,0.276308054085832,-0.775450843513671,0.242702860478692,-0.457919955626414,0.216269168573771,-1.1132306566906,-0.385221319834458,-1.39868090597368,-1.28449364167728,"hiprev","hiprom","loass","hiloc",1,0.84061039929677,0.438736461391469,-0.891322311458372,0.464571107582065,1,"US","United States","11351","RR-NYSREGION-ASN-01",0,"67.242.210.15",0,0
"323","2018-09-10 06:48:24","2018-09-10 06:56:39",100,494,"1","R_bxTfZHL2JpNtu6J","EN","1",5,4,5,6,6,4,4,5,3,5,3,1,4,1,5,4,5,4,2,6,4,2,1,2,5,1,2,5,4,3,"4.862","130.309","130.557","39",3,3,5,3,4,3,4,3,2,4,3,"6.601","40.423","41.489","14","1","6.915","13.161","34.552","3","23.791","24.989","30","2","30","27.738","37.839","38.575","4","","","","","","65","29.834","40.232","41.9","4",5,5,4,"0",4,4,5,5,5,"","male","",41,"english","","white","","83","","0","somecollege","$100K-$250K","0","","CF Loss",65,41.9,4,3.2,3.83333333333333,3.5,4.75,3,3,3,3,3,4,3,3,2,5,3,5,0.2,0.566666666666667,1.72727272727273,0.75,-0.633333333333333,-0.553027630805409,-0.11005291005291,0.442974720752499,-0.358784176847004,0.409369527145359,0.601019941759668,0.988053260346834,1.15276595104036,1.19029059499411,1.55702214061221,1.66192779231231,"loprev","hiprom","loass","hiloc",1,-0.134085094366356,0.703378560975473,0.396070705491224,-0.621122855176873,1,"US","United States","12271","SCRR-12271",0,"67.245.216.203",0,0
"324","2018-09-10 06:48:30","2018-09-10 06:53:53",100,322,"1","R_1G1grFJJremWdtn","EN","1",5,1,5,6,6,6,6,6,4,1,4,1,3,3,4,6,3,4,4,4,6,2,5,5,6,1,1,5,3,1,"1.766","71.025","71.601","38",3,1,5,2,5,1,4,3,3,3,1,"3.146","25.281","26.826","13","1","2.75","11.846","14.182","4","0","0","14.24","0","30","13.66","13.66","14.35","1","0","21.935","21.935","22.587","1","","","","","",5,5,3,"0",5,5,5,5,5,"i knew about bitcoin back when it was just starting out, but i was only a teenager and had no money or allowance, so i really couldn't do anything about investing in it but i wished i was just a little older or had money back then. ","female","",24,"english","","white","","83","","0","graddegree",NA,"0","","Control",0,22.587,1,4.4,3.83333333333333,4.41666666666667,5,5,4,5,3,3,3,5,6,6,6,4,2,0.8,0.966666666666667,2.81060606060606,1.81818181818182,0.566666666666667,0.646972369194592,1.08994708994709,0.442974720752499,0.557882489819663,0.659369527145359,-0.457919955626414,1.7598373521199,1.90809815361735,1.19029059499411,1.55702214061221,1.66192779231231,"hiprev","hiprom","hiass","hiloc",0,1.32795814612833,0.703378560975473,-1.46349698565819,0.72663516755836,-1,"US","United States","11351","RR-NYSREGION-ASN-01",0,"67.249.184.208",0,0
"325","2018-09-10 06:45:11","2018-09-10 06:54:52",100,581,"1","R_55YGjHIHSHUnwPv","EN","1",4,1,2,5,3,6,2,3,2,3,5,1,4,1,4,4,1,2,5,6,4,5,1,6,5,1,1,5,3,4,"0.75","122.614","123.428","45",3,3,4,3,4,3,3,3,2,4,2,"6.981","57.348","58.067","27","1","10.461","10.461","12.335","1","9.167","9.167","11.773","1","30","22.127","27.035","28.875","5","","","","","","10","18.761","22.15","23.37","2",5,5,3,"0",1,1,1,1,1,"","male","",62,"english","","white","","83","","0","graddegree","$70K-$100K","0","","CF Loss",10,23.37,2,3.2,3.66666666666667,4.58333333333333,3.5,3,3,3,3,3,4,4,6,4,6,3,1,0.2,0.266666666666667,2.08333333333333,1.54545454545455,-0.466666666666666,-0.386360964138742,-0.11005291005291,0.276308054085832,0.724549156486329,-0.840630472854641,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"loprev","hiprom","hiass","loloc",1,-0.134085094366356,0.438736461391469,-1.17740964855828,-0.433934240908091,1,"US","United States","11351","RR-NYSREGION-ASN-01",0,"67.249.189.129",0,0
"326","2018-09-10 06:49:47","2018-09-10 06:54:42",100,294,"1","R_2yrBuzNdOfTRyQ5","EN","1",5,1,4,6,5,1,2,5,2,3,4,2,1,3,6,6,4,3,4,4,5,1,2,2,6,2,1,6,5,1,"3.638","60.888","61.665","30",4,1,5,1,4,1,4,3,1,4,2,"3.635","25.518","26.684","11","1","0","0","14.58","0","0","0","12.268","0","30","14.997","14.997","16.559","1","100","15.747","15.747","17.164","1","","","","","",5,4,4,"0",4,3,4,4,3,"","female","",38,"english","","black","","83","","0","graddegree","$20K-$40K","0","","Control",100,17.164,1,4.4,4,3.41666666666667,5.33333333333333,5,5,5,3,2,5,4,6,4,6,6,5,0.8,1.2,3.90151515151515,0.424242424242424,0.4,0.480305702527925,1.08994708994709,0.609641387419165,-0.442117510180338,0.992702860478692,0.601019941759668,0.988053260346834,0.397433748463374,0.402534637579827,0.818096378965737,0.188717075317515,"hiprev","hiprom","loass","hiloc",0,1.32795814612833,0.968020660559476,1.39737638534091,0.539446553289578,-1,"US","United States","11351","RR-NYSREGION-ASN-01",0,"67.252.50.96",0,0
"327","2018-09-10 06:45:27","2018-09-10 06:51:30",100,362,"1","R_1FeTjeTBQrIG5mK","EN","1",5,2,2,6,5,3,4,5,5,2,4,1,3,1,5,5,4,3,5,5,4,5,3,4,4,1,2,5,4,4,"4.353","114.935","115.661","33",1,1,3,3,4,1,4,1,2,5,1,"4.885","68.922","70.315","13","1","0","0","10.945","0","0","0","12.075","0","30","9.793","11.065","13.181","3","100","10.147","11.2","12.086","2","","","","","",5,5,4,"1",NA,NA,NA,NA,NA,"Thank you!","female","",29,"english","","white","","71","","0","associates","$40K-$70K","0","","Control",100,12.086,2,4.4,4.33333333333333,4.58333333333333,4.33333333333333,5,3,5,5,5,4,5,5,5,5,4,3,0.8,0.666666666666667,0.446969696969697,1.15151515151515,0.0666666666666673,0.146972369194592,1.08994708994709,0.942974720752498,0.724549156486329,-0.00729713952130773,0.601019941759668,NA,NA,NA,NA,NA,"hiprev","hiprom","hiass","loloc",0,1.32795814612833,1.49730485972748,1.39737638534091,0.165069324752013,-1,"US","United States","11351","RR-NYSREGION-ASN-01",0,"67.253.27.167",0,0
"328","2018-09-10 06:51:31","2018-09-10 06:57:54",100,383,"1","R_D2cF1vFgoGF4r7j","EN","1",6,5,4,5,5,2,6,6,3,6,2,1,4,1,1,4,3,3,4,3,5,2,1,1,5,3,2,6,5,3,"3.291","134.089","135.812","56",3,2,4,3,4,2,4,1,4,5,1,"7.064","46.09","47.552","14","1","0","0","12.281","0","0","0","8.881","0","30","12.468","15.479","16.488","2","","","","","","50","14.166","14.166","15.094","1",5,5,3,"0",3,1,4,3,3,"","female","",38,"english","","white","","83","","0","graddegree","$250K-$500K","0","","CF Loss",50,15.094,1,4,3.83333333333333,2.83333333333333,5,4,3,4,5,3,2,5,2,1,5,3,6,0.5,1.36666666666667,2.33333333333333,0.909090909090909,0.166666666666667,0.246972369194591,0.68994708994709,0.442974720752499,-1.02545084351367,0.659369527145359,-0.457919955626414,0.216269168573771,-1.1132306566906,0.402534637579827,0.0791706173192649,0.188717075317515,"hiprev","hiprom","loass","hiloc",1,0.84061039929677,0.703378560975473,-0.033060300158641,0.277382493313282,1,"US","United States","12271","SCRR-12271",0,"67.254.210.204",0,0
"329","2018-09-10 06:46:25","2018-09-10 06:52:05",100,340,"1","R_3rTbZ24wdmaxGO8","EN","1",6,2,4,6,5,5,6,5,5,2,2,1,2,2,1,5,4,5,4,6,6,3,1,2,4,6,2,6,6,5,"3.364","74.173","74.939","81",4,5,5,5,3,5,4,4,5,5,3,"4.628","52.06","53.442","42","1","0","0","52.777","0","0","0","14.738","0","30","7.856","14.854","15.683","5","","","","","","80","6.801","6.801","7.776","1",5,4,4,"0",5,4,5,5,3,"","male","",39,"english","","asian","","12","","","associates","$70K-$100K","0","","CF Loss",80,7.776,1,1.6,3.33333333333333,4.33333333333333,5.25,1,1,1,2,2,1,3,5,5,5,5,5,0.8,2.66666666666667,2.42424242424242,0.568181818181818,-1.73333333333333,-1.65302763080541,-1.71005291005291,-0.0570252792475014,0.474549156486329,0.909369527145359,0.601019941759668,1.7598373521199,1.15276595104036,1.19029059499411,1.55702214061221,0.188717075317515,"loprev","loprom","hiass","hiloc",1,-2.08347608169261,-0.0905477377765371,0.82520171114109,-1.85656770935084,1,"US","United States","33363","BHN-TAMPA",0,"67.8.185.87",0,0
"330","2018-09-10 06:45:52","2018-09-10 06:54:35",100,522,"1","R_0kPMcBWggRCsFZn","EN","1",5,5,4,6,5,5,4,5,2,5,2,2,2,5,4,5,4,2,2,2,5,2,5,2,4,2,2,2,2,3,"3.352","204.979","205.4","31",3,1,4,2,5,1,5,1,1,4,2,"4.641","121.347","122.466","12","1","0","0","6.695","0","2.376","2.376","3.677","1","30","19.797","19.797","20.939","1","","","","","","25","8.337","12.265","13.846","2",4,4,3,"0",2,1,2,1,2,"","female","",49,"english","","white","","12","","0","associates","$40K-$70K","0","","CF Loss",25,13.846,2,4.8,4.16666666666667,2.91666666666667,4.41666666666667,5,4,5,5,3,5,4,2,2,5,5,5,0.2,0.566666666666667,1.53787878787879,1.53787878787879,0.633333333333333,0.713639035861258,1.48994708994709,0.776308054085832,-0.942117510180338,0.0760361938120262,-0.457919955626414,-0.555514923199293,-1.1132306566906,-1.17297727724874,-1.39868090597368,-0.547888283179883,"hiprev","hiprom","loass","loloc",1,1.8153058929599,1.23266276014348,-0.748278642908417,0.801510613265873,1,"US","United States","33363","BHN-TAMPA",0,"67.8.219.117",0,0
"331","2018-09-10 06:54:56","2018-09-10 07:00:45",100,349,"1","R_11hGGuPatvGu3w8","EN","1",6,5,5,5,5,4,2,5,2,5,2,2,2,5,4,5,5,5,2,2,5,2,5,2,5,2,5,5,5,2,"11.937","122.439","122.923","34",2,1,4,1,4,1,5,1,1,4,4,"47.704","109.72","111.065","12","1","0","0","2.264","0","0","0","1.3","0","30","2.33","4.654","5.503","3","50","4.833","4.833","5.974","1","","","","","",4,4,3,"0",1,2,2,2,2,"","female","",26,"english","","white","","12","","0","somecollege","$40K-$70K","0","","Control",50,5.974,1,4.8,4,2.33333333333333,5.08333333333333,5,5,5,5,4,5,2,2,2,2,5,5,0.2,1.2,0.606060606060606,0.0833333333333333,0.8,0.880305702527925,1.48994708994709,0.609641387419165,-1.52545084351367,0.742702860478692,-0.457919955626414,-1.32729901497236,-0.357898454113614,-1.17297727724874,-0.659755144327207,-0.547888283179883,"hiprev","hiprom","loass","hiloc",0,1.8153058929599,0.968020660559476,-0.033060300158641,0.988699227534655,-1,"US","United States","33363","BHN-TAMPA",0,"67.8.219.117",0,0
"332","2018-09-10 06:46:14","2018-09-10 06:58:34",100,739,"1","R_1qeA5dZi2wDKudg","EN","1",5,1,2,5,2,3,5,5,6,2,5,1,5,1,5,4,2,2,5,5,3,5,2,3,5,1,1,4,3,5,"9.152","291.546","292.284","30",2,4,3,4,2,4,3,4,3,1,3,"3.615","58.429","59.245","11","1","0","0","15.512","0","0","0","17.443","0","30","29.324","29.324","30.181","1","0","69.179","69.179","70.435","1","","","","","",5,5,3,"0",4,4,5,2,3,"","female","",37,"english","","white","","73","","0","somecollege","$70K-$100K","0","","Control",0,70.435,1,2,2.83333333333333,5.08333333333333,3.66666666666667,2,2,2,2,4,3,3,6,5,6,2,4,0,0.966666666666667,0.628787878787879,1.51515151515152,-0.833333333333333,-0.753027630805409,-1.31005291005291,-0.557025279247501,1.22454915648633,-0.673963806187974,-0.457919955626414,0.988053260346834,1.15276595104036,1.19029059499411,-0.659755144327207,0.188717075317515,"loprev","loprom","hiass","loloc",0,-1.59612833486105,-0.884474036528547,-1.46349698565819,-0.845749192299413,-1,"US","United States","20115","CHARTER-NET-HKY-NC",0,"68.118.237.63",0,0
"333","2018-09-10 06:45:37","2018-09-10 06:53:42",100,485,"1","R_2379dwpBmm2oIjr","EN","1",3,3,2,5,4,4,3,2,2,5,3,1,5,2,3,4,3,3,4,3,2,3,3,3,3,2,4,4,2,4,"11.089","196.241","197.824","34",3,4,3,5,3,5,4,4,3,3,1,"6.896","111.288","111.885","14","1","0","0","4.258","0","0","0","11.282","0","30","14.926","14.926","15.886","1","50","9.622","10.437","11.484","2","","","","","",5,5,4,"0",1,1,1,1,1,"","male","",41,"english","","white","","83","","0","associates","$70K-$100K","0","","Control",50,11.484,2,1.8,3.5,3.16666666666667,3.08333333333333,2,1,1,2,3,3,5,4,2,3,2,4,0.7,0.7,0.515151515151515,1.17424242424242,-1.7,-1.61969429747208,-1.51005291005291,0.109641387419165,-0.692117510180338,-1.25729713952131,0.601019941759668,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"loprev","hiprom","loass","loloc",0,-1.83980220827683,0.174094361807466,-0.033060300158641,-1.81912998649708,-1,"US","United States","701","UUNET",0,"68.129.202.26",0,0
